Software_Category;Software_CategoryLabel;num_software;subclass of 
http://www.wikidata.org/entity/Q341;free software;7237;social movement , software, freely redistributable software
http://www.wikidata.org/entity/Q25595203;Internet forum software;20;social software
http://www.wikidata.org/entity/Q4994515;file sharing software;11;social software
http://www.wikidata.org/entity/Q63067479;electronic mailing list manager;9;social software
http://www.wikidata.org/entity/Q474157;collaborative software;58;social software, business software
http://www.wikidata.org/entity/Q7247856;productivity software;50;software
http://www.wikidata.org/entity/Q528166;client;33;software
http://www.wikidata.org/entity/Q3125508;hacking tool;30;software
http://www.wikidata.org/entity/Q676202;system software;29;software
http://www.wikidata.org/entity/Q104851;firmware;24;software
http://www.wikidata.org/entity/Q12014419;peer-to-peer software;22;software
http://www.wikidata.org/entity/Q1172313;file viewer;13;software
http://www.wikidata.org/entity/Q2057931;simulator;11;software
http://www.wikidata.org/entity/Q1368899;command-line interpreter;9;software
http://www.wikidata.org/entity/Q2996416;file converter;8;software
http://www.wikidata.org/entity/Q13515741;content-control software;8;software
http://www.wikidata.org/entity/Q854840;taskbar;8;software
http://www.wikidata.org/entity/Q1165574;system monitor;8;software
http://www.wikidata.org/entity/Q1200186;remote desktop software;8;software
http://www.wikidata.org/entity/Q66436511;publishing software;8;software
http://www.wikidata.org/entity/Q29032804;configuration manager;6;software
http://www.wikidata.org/entity/Q208218;patch;5;software
http://www.wikidata.org/entity/Q1641413;job scheduler;5;software
http://www.wikidata.org/entity/Q24021076;subtitle editor;4;software
http://www.wikidata.org/entity/Q29645725;printing software;4;software
http://www.wikidata.org/entity/Q61906203;speech recognition software;4;software
http://www.wikidata.org/entity/Q5249204;Decision-making software;2;software
http://www.wikidata.org/entity/Q6543035;License manager;2;software
http://www.wikidata.org/entity/Q25588783;driver assistance software;2;software
http://www.wikidata.org/entity/Q51938570;entertainment software;2;software
http://www.wikidata.org/entity/Q85757110;Discovery layer;2;software
http://www.wikidata.org/entity/Q25374232;closed-circuit television software;1;software
http://www.wikidata.org/entity/Q26203767;spatial analysis software;1;software
http://www.wikidata.org/entity/Q116112;bulk email software;1;software
http://www.wikidata.org/entity/Q2023643;On-premises software;1;software
http://www.wikidata.org/entity/Q28966214;peer-to-peer web hosting software;1;software
http://www.wikidata.org/entity/Q3257918;educational content editing software;0;software
http://www.wikidata.org/entity/Q7311809;reminder software;0;software
http://www.wikidata.org/entity/Q10413423;anti-cheat;0;software
http://www.wikidata.org/entity/Q451816;application firewall;0;software
http://www.wikidata.org/entity/Q1419081;PC booter;0;software
http://www.wikidata.org/entity/Q207170;office suite;51;software  ( different from: software package)
http://www.wikidata.org/entity/Q1403556;reference management software;52;software ( use : science, academia, management, bibliometrics)
http://www.wikidata.org/entity/Q7314108;report generator;7;software , part of DataWareHouse
http://www.wikidata.org/entity/Q18922759;messaging app;5;software , social software
http://www.wikidata.org/entity/Q166142;application;1315;software category
http://www.wikidata.org/entity/Q355134;graphics engine;10;software engine
http://www.wikidata.org/entity/Q193564;game engine;243;software engine, middleware, utility software
http://www.wikidata.org/entity/Q373442;web browser engine;13;software engine, rendering software
http://www.wikidata.org/entity/Q874411;browser extension;44;software extension, application
http://www.wikidata.org/entity/Q5014368;CSS framework;7;software framework
http://www.wikidata.org/entity/Q271680;software framework;230;software library
http://www.wikidata.org/entity/Q21127166;Java software library;98;software library
http://www.wikidata.org/entity/Q21129801;natural language processing toolkit;14;software library
http://www.wikidata.org/entity/Q1444922;runtime library;13;software library
http://www.wikidata.org/entity/Q1199356;standard library;2;software library
http://www.wikidata.org/entity/Q3363001;wrapper library;2;software library
http://www.wikidata.org/entity/Q337820;graphics library;28;software library , graphics software
http://www.wikidata.org/entity/Q29642950;Python library;5609;software library, software package
http://www.wikidata.org/entity/Q783866;JavaScript library;1551;software library, software package
http://www.wikidata.org/entity/Q19595415;TeX macro package;19;software library, typesetting software?
http://www.wikidata.org/entity/Q73539779;R package;20;software package
